id,title,author,dynasty,genre,poem_type,content,lines,line_char_counts,meter_pattern,total_lines,total_chars,is_regular,meter_category
5b9a18d3367d5c0f40d230e4,逍遥咏,宋太宗,宋代,诗,杂言,"含元得一本真宗，误者平论总是空。
万象都来皆备数，千言譬谕了然通。
才高俊彦优堪赏，窃禄偷安有异同。
唯愿他心如似我，不教陷恶罪身中。","['含元得一本真宗误者平论总是空', '万象都来皆备数千言譬谕了然通', '才高俊彦优堪赏窃禄偷安有异同', '唯愿他心如似我不教陷恶罪身中']","[14, 14, 14, 14]","14,14,14,14",4,56,False,
5b9a19f1367d5c0f40d23866,杂言四首 其二,贡奎,元代,诗,杂言,"楚冈产至宝，草木为华滋。一朝献君门，借问识者谁？

居然刖其足，九死终不移。枯荣祗自辱，造物真有知。

","['楚冈产至宝草木为华滋一朝献君门借问识者谁', '居然刖其足九死终不移枯荣祗自辱造物真有知']","[20, 20]","20,20",2,40,False,
5b9a1b5c367d5c0f40d241ed,杂曲歌辞。桂花曲,佚名,唐代,诗,杂言,"可怜天上桂花孤，试问姮娥更要无。 
 月宫幸有闲田地，何不中央种两株。","['可怜天上桂花孤试问姮娥更要无', '月宫幸有闲田地何不中央种两株']","[14, 14]","14,14",2,28,False,
5b9a147a367d5cab186687f3,春怨,刘方平,唐代,诗,杂言,"纱窗日落渐黄昏，金屋无人见泪痕。 
寂寞空庭春欲晚，梨花满地不开门。","['纱窗日落渐黄昏金屋无人见泪痕', '寂寞空庭春欲晚梨花满地不开门']","[14, 14]","14,14",2,28,False,
5b9a1b29367d5c0f40d24096,三月抵京二首 其二,卢龙云,明代,诗,杂言,"尚及三春候，重来万里人。辞家方在远，观国屡为宾。

宦业难书竹，时情任积薪。长安真似奕，往事不须颦。

","['尚及三春候重来万里人辞家方在远观国屡为宾', '宦业难书竹时情任积薪长安真似奕往事不须颦']","[20, 20]","20,20",2,40,False,
5b9a1aa1367d5c0f40d23d02,游燕喜次韵,李邦义,明代,诗,杂言,"湟川山水旧传名，暇日来游燕喜亭。细扪萝藤寻古刹，徐穿岩洞觅仙灵。

卧龙故址云常白，梦得遗墟草漫青。千载风流人不见，惟闻山下水泠泠。

","['湟川山水旧传名暇日来游燕喜亭细扪萝藤寻古刹徐穿岩洞觅仙灵', '卧龙故址云常白梦得遗墟草漫青千载风流人不见惟闻山下水泠泠']","[28, 28]","28,28",2,56,False,
5b9a196a367d5c0f40d234d7,永和宫词廿七首 其九,吴伟业,明代,诗,杂言,"奉使龙楼贾佩兰，往还偶失两宫欢。虽云樊昵能辞令，欲得昭仪喜怒难。

",['奉使龙楼贾佩兰往还偶失两宫欢虽云樊昵能辞令欲得昭仪喜怒难'],[28],28,1,28,False,
5b9a1ca6367d5c0f40d24a91,有惠诗求酒者和答二首赠以两榼 其二,吕陶,宋代,诗,杂言,"愁肠思得浊醪浇，浑似春苗旱欲焦。洗瓮已于坊禁碍，典琴谁向息钱饶。

醒心未免嗟牢落，醉眼偏宜望泬寥。酩酊到来须画寝，信知毕卓胜边韶。

","['愁肠思得浊醪浇浑似春苗旱欲焦洗瓮已于坊禁碍典琴谁向息钱饶', '醒心未免嗟牢落醉眼偏宜望泬寥酩酊到来须画寝信知毕卓胜边韶']","[28, 28]","28,28",2,56,False,
5b9a17e5367d5c0f40d22ab3,采蘩,佚名,先秦,诗,杂言,"于以采蘩？于沼于沚。于以用之？公侯之事。
于以采蘩？于涧之中。于以用之？公侯之宫。
被之僮僮，夙夜在公。被之祁祁，薄言还归。","['于以采蘩于沼于沚于以用之公侯之事', '于以采蘩于涧之中于以用之公侯之宫', '被之僮僮夙夜在公被之祁祁薄言还归']","[16, 16, 16]","16,16,16",3,48,False,
5b9a1971367d5c0f40d23509,唐有怀以九疑之茶分赠二首 其一,王慎中,明代,诗,杂言,"永州太守清于水，囊携芳茗担还轻。却分囊茗过闽岭，重儗千钧未比情。

",['永州太守清于水囊携芳茗担还轻却分囊茗过闽岭重儗千钧未比情'],[28],28,1,28,False,
