author,paragraphs,title,id,dynasty,genre,tags,notes,rhythmic,prologue,content
劉子翬,"儉約身爲率，憂勤壽豈延。
鐘殘長樂夜，日斷泰陵烟。
歸馭應奔月，餘勳頼補天。
傷心南渡日，一棹灨江船。",隆祐太后挽歌辞三首 其三,501e6a8c-a4a3-4027-950a-31658e7d4390,宋代,诗,,,,,"俭约身为率,忧勤寿岂延. 钟残长乐夜,日断泰陵烟. 归驭应奔月,余勋頼补天. 伤心南渡日,一棹灨江船."
釋正覺,"天蓋地載，成團成塊。
周法界而無邊，折鄰虛而無內。
及盡玄微，誰分向背。
佛祖來償口業債，問取南泉王老師，人人只喫一莖菜。",颂古一百则 其六七,27c6f1de-3d17-43bb-a554-f87d213a9dd1,宋代,诗,,,,,"天盖地载,成团成块. 周法界而无边,折邻虚而无内. 及尽玄微,谁分向背. 佛祖来偿口业债,问取南泉王老师,人人只吃一茎菜."
宋白,"虢國威儀過薛王，擔夫爭路氣揚揚。
宮嬪後出香車送，颭碎釵頭玉鳳凰。",宫词 其九一,fa12ce5a-2691-4aeb-b6a3-00d132695ec8,宋代,诗,,,,,"虢国威仪过薛王,担夫争路气扬扬. 宫嫔后出香车送,飐碎钗头玉凤凰."
釋智愚,"欲識窮原處，何人爲指迷。
夕陽鷄犬外，桃李自成蹊。",颂古一百首 其二一,a68d9123-d9cd-41d9-b543-7767b12f1244,宋代,诗,,,,,"欲识穷原处,何人为指迷. 夕阳鸡犬外,桃李自成蹊."
釋居簡,"學道如鑽火，逢煙未可休。
直待金星現，曹門取鄭州。",偈颂一百三十三首 其一五,a0e002e1-5ea8-4637-8cec-8c3642a893fb,宋代,诗,,,,,"学道如钻火,逢烟未可休. 直待金星现,曹门取郑州."
陸文圭,"人受氣之精，百歲驚風雨。
少壯會有衰，神散無復聚。
木受氣之偏，生旺寄於土。
枝榦老更奇，花葉落仍吐。
君看山中桂，秋露滴金乳。
種者是何人，賞者經幾主。
天香入酒冽，吸月空懷古。
素娥笑白髪，對影獨起舞。",老桂古字韵,88e1f991-dbc6-4bb6-8945-6f040717dd6d,宋代,诗,,,,,"人受气之精,百岁惊风雨. 少壮会有衰,神散无复聚. 木受气之偏,生旺寄于土. 枝干老更奇,花叶落仍吐. 君看山中桂,秋露滴金乳. 种者是何人,赏者经几主. 天香入酒冽,吸月空怀古. 素娥笑白髪,对影独起舞."
楊萬里,"脚踏雞翹豹尾間，心飛碧岫白雲端。
人看疎傅如圖畫，帝念嚴光返釣灘。
玉殿松班唐次對，竹宮茅立漢祠官。
自憐病鶴樊籠底，萬羨冥鴻片影寒。",送吴敏叔待制侍郎,bbaf4fb8-ecbb-4974-b304-7e0c2c746df7,宋代,诗,,,,,"脚踏鸡翘豹尾间,心飞碧岫白云端. 人看疎傅如图画,帝念严光返钓滩. 玉殿松班唐次对,竹宫茅立汉祠官. 自怜病鹤樊笼底,万羡冥鸿片影寒."
李曾伯,"巷陌高題儀鳳，橋梁橫卧長虹。
十里江山福地，滿城桃李春風。",全州道间 其二,1c794334-4f0c-4e45-af95-31d29f3ec38c,宋代,诗,,,,,"巷陌高题仪凤,桥梁横卧长虹. 十里江山福地,满城桃李春风."
胡一桂,"盡日勞勞烟雨裏，此行誰識是歟非。
翩然芒屩相隨處，正見梅花欲放時。
太極便堪窺易藴，黄鐘初可驗葭飛。
天心子半無移改，細玩堯夫至日詩。",至日建中次季真韵,cf73054d-c376-4b49-acd8-1edb7be2309d,宋代,诗,,,,,"尽日劳劳烟雨里,此行谁识是欤非. 翩然芒𪨗相随处,正见梅花欲放时. 太极便堪窥易蕴,黄钟初可验葭飞. 天心子半无移改,细玩尧夫至日诗."
袁說友,"江南人物在覿面，足以慰予疇昔念。
識公只在文字間，君子若人今子賤。
江湖路遠睽言談，八年於外自亦閒。
有時拂拭舊珠玉，端欲論詩伯仲間。
公懷席珍方就聘，一航我欲長安近。
只知喜接故人歡，寧羨官高如斗印。
羈懷寂寞逢春光，未著語意何可當。
下帷諸孫出新句，如繭抽緒思無疆。
一詩傑出駭奇創，陡覺詩壇羣膽喪。
自憐老退無好懷，語不驚人慚少壯。
宦情不絕真如絲，有憤莫吐誰與咨。
只今猶得斯人語，剩有風騷同激推。
不堪人事長乖處，聞說扁舟復西去。
十年一見意匆匆，更寫瀟湘別離句。
男兒氣節天所資，道大何計合與違。
但讀詩書談世事，看公衣錦他年歸。",和董显叔韵,8837313b-47a1-4985-862b-61ae1254b4f7,宋代,诗,,,,,"江南人物在觌面,足以慰予畴昔念. 识公只在文字间,君子若人今子贱. 江湖路远睽言谈,八年于外自亦闲. 有时拂拭旧珠玉,端欲论诗伯仲间. 公怀席珍方就聘,一航我欲长安近. 只知喜接故人欢,宁羡官高如斗印. 羁怀寂寞逢春光,未著语意何可当. 下帷诸孙出新句,如茧抽绪思无疆. 一诗杰出骇奇创,陡觉诗坛群胆丧. 自怜老退无好怀,语不惊人惭少壮. 宦情不绝真如丝,有愤莫吐谁与咨. 只今犹得斯人语,剩有风骚同激推. 不堪人事长乖处,闻说扁舟复西去. 十年一见意匆匆,更写潇湘别离句. 男儿气节天所资,道大何计合与违. 但读诗书谈世事,看公衣锦他年归."
